latitude,longitude,altitude,geometry,@id,amenity,denomination,name,religion,name:de,name:en,name:pl,name:ru,wheelchair,wikidata,wikipedia,historic,tourism,note,name:el,source,building,addr:city,addr:housename,addr:housenumber,addr:postcode,addr:street,survey:date,addr:country,short_name,official_name,operator,description,level,phone,alt_name,start_date,opening_hours,website
38.0285166,23.7925042,,Point,node/4115041291,place_of_worship,greek_orthodox,Αγία Άννα,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0372588,23.8003224,,Point,node/4116406440,place_of_worship,greek_orthodox,Άγιος Γεώργιος Χωματιανών,christian,,,,,,,,,,,,,,Μαρούσι,,,,Παραδείσου,,,,,,,,,,,,
37.8416154,24.002297,,Point,node/4128214355,place_of_worship,greek_orthodox,Υπαπαντή,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8465685,24.0287738,,Point,node/4128214356,place_of_worship,greek_orthodox,Μονή Ευαγγελίστριας,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0164315,23.8021602,,Point,node/4163893236,place_of_worship,greek_orthodox,Άγιοι Ανάργυροι,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8847393,24.0131745,,Point,node/4220868031,place_of_worship,greek_orthodox,Ι.Ν.Αγ.Νικολάου,christian,,,,,,,,,,,,,,Πόρτο Ράφτη,,,19003,Αγ.Νικολάου,,,,,,,,,,,,
37.8856935,24.0001097,,Point,node/4221396955,place_of_worship,greek_orthodox,Αγία Παρασκευή,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8893294,23.9879501,,Point,node/4221396956,place_of_worship,greek_orthodox,Ι.Ν.Αγ.Νήφωνος,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8939397,23.9607424,,Point,node/4221396957,place_of_worship,greek_orthodox,Ι.Ν.Αγ.Τριάδας,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8962689,23.9553416,,Point,node/4221396958,place_of_worship,greek_orthodox,Ι.Ν.Αγ.Θωμά,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9120459,23.9606083,,Point,node/4221396959,place_of_worship,greek_orthodox,Ι.Ν.Αγ.Δημητρίου,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8816775,23.9323021,,Point,node/4221444372,place_of_worship,greek_orthodox,Ι.Ν.Αγ.Παρασκευής,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8816055,23.9323645,,Point,node/4221444373,place_of_worship,greek_orthodox,Ι.Ν.Αγ.Θέκλας,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.871401,23.9329041,,Point,node/4221444375,place_of_worship,greek_orthodox,Ι.Ν.Αγ.Παρασκευής,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8689167,23.9358053,,Point,node/4221444376,place_of_worship,greek_orthodox,Ι.Ν.Ταξιαρχών,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8640441,23.930248,,Point,node/4221444377,place_of_worship,greek_orthodox,Ι.Ν.Κοίμησης της Θεοτόκου,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8736344,23.9502213,,Point,node/4221444378,place_of_worship,greek_orthodox,Ι.Ν.Αγ.Γεωργίου,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8703676,23.9649351,,Point,node/4221444379,place_of_worship,greek_orthodox,Ι.Ν.Παναγίας Μερέντα,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8737349,23.9837671,,Point,node/4221444380,place_of_worship,greek_orthodox,Ι.Ν.Αγ.Αθανασίου,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8753787,24.003428,,Point,node/4221444381,place_of_worship,greek_orthodox,Ι.Ν.Πρ.Ηλία,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8871514,23.9242421,,Point,node/4221444382,place_of_worship,greek_orthodox,Ι.Ν.Αγ.Ελευθερίου,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8872285,23.9242814,,Point,node/4221444383,place_of_worship,greek_orthodox,Ι.Ν.Παναγίας,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9614816,23.9224102,,Point,node/4223660307,place_of_worship,greek_orthodox,Ι.Ν.Αγ.Νικολάου,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9613491,23.9221029,,Point,node/4223660308,place_of_worship,greek_orthodox,Ι. Μητρόπολις Μεσογαίας και Λαυρεωτικής,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8364943,23.9519843,,Point,node/4233135114,place_of_worship,greek_orthodox,Ι.Μετόχι Ι.Μ.Οσίου Γρηγορίου Αγ.Όρους,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0825602,23.7315934,,Point,node/4252887914,place_of_worship,,Παναγία η Πορταΐτισσα,christian,,,,,,,,,,,,,,,,,,Βαμβακάρη Μ.,,,,,,,,,,,,
38.0889223,23.7434439,,Point,node/4252894692,place_of_worship,,Αγία Τριάδα,christian,,,,,,,,,,,,,,,,,,Αγίας Τριάδος,,,,,,,,,,,,
38.0643925,23.8576336,,Point,node/4311177732,place_of_worship,,Άγιος Σίλας,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0561247,23.8713109,,Point,node/4312326080,place_of_worship,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0505991,23.8673543,,Point,node/4315649227,place_of_worship,greek_orthodox,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9342957,23.6479598,,Point,node/4325930297,place_of_worship,greek_orthodox,Η Αγία Όλγα,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0398577,23.849819,,Point,node/4328396651,place_of_worship,greek_orthodox,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0319522,23.838952,,Point,node/4349511345,place_of_worship,,Άγιος Αντώνιος,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0521776,23.8442769,,Point,node/4366080826,place_of_worship,,Αγία Μαρίνα,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9501859,23.728304,,Point,node/4375529373,place_of_worship,other,01 Filippos,other,,,,,,,,,,,,,,Δημοτική Ενότητα Δάφνης,,13,17234,Αιγαίου,,,,,,,,,,,,
37.9529463,23.7658422,,Point,node/4384287916,place_of_worship,,Αγίου Κωνσταντίνου & Ελένης,christian,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,
38.0179992,23.7184088,,Point,node/4395435872,place_of_worship,greek_orthodox,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0701191,23.8517508,,Point,node/4412741495,place_of_worship,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.006247,23.7553134,,Point,node/4440540287,place_of_worship,greek_orthodox,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0507073,23.7961745,,Point,node/4459251094,place_of_worship,greek_orthodox,Αγιος Ιωάννης,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.049936,23.7967751,,Point,node/4459560654,place_of_worship,greek_orthodox,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.813252,23.9661291,,Point,node/4658742410,place_of_worship,greek_orthodox,Εκκλησία Αγίας Τριάδας,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8143152,23.9588615,,Point,node/4658747504,place_of_worship,greek_orthodox,Εκκλησία Αγίας Κυριακής,christian,,,,,,,,,,,,,,,,,,,,,,,,Βυζαντινό ξωκλήσι του 12ου αιώνος ,,,,,,
37.8120383,23.9791041,,Point,node/4660963780,place_of_worship,orthodox,Ι.Ν. Μεταμορφώσεως του Σωτήρος,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8087036,23.978583,,Point,node/4660964368,place_of_worship,,Άγιος Χαράλαμπος,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9882484,23.8086415,,Point,node/4677000221,place_of_worship,greek_orthodox,Αγία Ελεούσα,christian,,,,,limited,,,,,,,,,,,,,,,,,,,,0,,,,,
38.1057827,23.7349658,,Point,node/4693345092,place_of_worship,,Αγία Παρασκευή,,,Agia Paraskevi,,,,,,,,,Αγία Παρασκευή,,,,,,13671,,,,,,,,,2102443920,,,,
38.0463552,23.8095928,,Point,node/4715803590,place_of_worship,,,,,,,,,,,,,,,,,,,,,Αγίου Αθανασίου,,,,,,,,,,,,
38.0415295,23.7681667,,Point,node/4808534451,place_of_worship,orthodox,Άγιος Κυπριανός,christian,,,,,,,,,,,,,,Ν. Ηράκλειο,,,14121,Παρθενώνος,,,,,,,,,,,,
37.9481075,23.9391386,,Point,node/4881687984,place_of_worship,,Πέτρου και Παύλου,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9304026,24.0137931,,Point,node/4889629492,place_of_worship,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8739215,24.0173639,,Point,node/4889656589,place_of_worship,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.1386357,23.8677675,,Point,node/4927095944,place_of_worship,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0740598,23.7031235,,Point,node/4948359482,place_of_worship,greek_orthodox,Άγιος Λουκάς,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.1570337,23.9330395,,Point,node/4972274095,place_of_worship,,Ξωκλήσι Αγίων Αποστόλων,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.039715,23.9340785,,Point,node/5026363751,place_of_worship,greek_orthodox,Προφήτης Ηλίας,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0397245,23.9480761,,Point,node/5026384879,place_of_worship,greek_orthodox,Μονή Νταού Πεντέλης,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0075213,23.7760113,,Point,node/5052862674,place_of_worship,catholic,St. John the Baptist,christian,,,,,,,,,,,,,,,,11,,Αλέξανδρού Παπαναστασίου,,,,,,,,,,,,
38.0980582,23.8167982,,Point,node/5110967379,place_of_worship,,Αγία Ματρώνα,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9822489,23.7427944,,Point,node/5162717173,place_of_worship,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9203951,23.8810858,,Point,node/5183626716,place_of_worship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8897247,23.4826067,,Point,node/5219957540,place_of_worship,,Παναγια,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9026001,23.5041873,,Point,node/5219984708,place_of_worship,,Άγ. Νικόλαος,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9017391,23.5137184,,Point,node/5219986534,place_of_worship,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9056662,23.5162842,,Point,node/5219991078,place_of_worship,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.992803,23.4722879,,Point,node/5220070327,place_of_worship,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9798302,23.4673038,,Point,node/5220079915,place_of_worship,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9754421,23.4628803,,Point,node/5220081100,place_of_worship,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9209135,23.4668126,,Point,node/5220118255,place_of_worship,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9132831,23.4969606,,Point,node/5220133948,place_of_worship,,Αγία Ζώνη,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9714223,23.4591667,,Point,node/5220146895,place_of_worship,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0455992,23.7579329,,Point,node/5234481863,place_of_worship,,Αγία Παρασκευή,christian,,,,,,,,,,,,,,Νέα Ιωνία,,,,Ηρακλείου,,,,,,,,,,,,
37.9975479,24.0273914,,Point,node/5244533919,place_of_worship,,Αγία Παρασκευή,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8854452,23.4683418,,Point,node/5244937350,place_of_worship,,Μεταμόρφωση Σωτήρος,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8790838,23.4617979,,Point,node/5244942764,place_of_worship,,Άγιος Νικόλαος,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9739568,23.730084,,Point,node/5260930517,place_of_worship,greek_orthodox,Αγία Ειρήνη,christian,,,,,,,el:Αγία Ειρήνη (ναός στην Πλάκα),,,,,,,,,,,,,,,,,,,,Το Ρηνάκι της Πλάκας,,,
37.951574,23.6680542,,Point,node/5262699972,place_of_worship,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.978201,23.6492722,,Point,node/5262789903,place_of_worship,,Αγία Μαρίνα,christian,,,,,,,,,,,,,,,,,,Αθηνάς,,,,,,,,,,,,
38.0555068,23.7593505,,Point,node/5285468033,place_of_worship,,Αγία Βαρβάρα,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9913104,23.6639957,,Point,node/5374471582,place_of_worship,,Ι.Ν. Αγίων Αναργύρων,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0946683,23.8933644,,Point,node/5433365839,place_of_worship,,Άγιος Γεώργιος Χιοπολίτης,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0925264,23.904048,,Point,node/5433365840,place_of_worship,,Μονή Αγίου Παντελεήμονα,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0877162,23.7537589,,Point,node/5456124988,place_of_worship,orthodox,Άγιος Λεωνίδας,christian,,,,,,,,,,,,,,Αχαρνές,,,,Δεκελείας,,,,,,,,,,,,
38.039609,23.8401719,,Point,node/5471310657,place_of_worship,orthodox,Εκκλησια Αγιων Δωδεκα Αποστολων,christian,,,,,,,,,,,,,,Βριλησσια,,,15235,Ταϋγέτου,,,,,,,,,,,,
38.0177815,23.6718331,,Point,node/5517248212,place_of_worship,,Ι. Ν. Αγίου Γεωργίου,christian,,,,,,,,,,,,,church,,,,,Πεισιστράτου,,,,,,,,,,,,
37.8127568,23.9959288,,Point,node/5531015412,place_of_worship,,Άγ. Φανούριος,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8079906,23.9802795,,Point,node/5531129218,place_of_worship,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8247547,23.9770602,,Point,node/5531220342,place_of_worship,,Άγιος Ιωάννης ο Πρόδρομος,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8443233,23.9294103,,Point,node/5531263228,place_of_worship,,Μεταμόρφωση Σωτήρος,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8474556,24.0268195,,Point,node/5545333379,place_of_worship,,Θεοτόκος,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0420432,23.5351602,,Point,node/5617684833,place_of_worship,,Chapel,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9671071,23.5018518,,Point,node/5743715353,place_of_worship,greek_orthodox,Αγία Κυριακή,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.964086,23.5234975,,Point,node/5743715359,place_of_worship,greek_orthodox,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9666576,23.4963046,,Point,node/5743773739,place_of_worship,greek_orthodox,Ιερός ναός προφήτη ηλία,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9687185,23.5075703,,Point,node/5743773746,place_of_worship,greek_orthodox,Άγιος Γεώργιος,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9624893,23.9831213,,Point,node/5758529495,place_of_worship,orthodox,Άγιος Κοσμάς ο Αιτωλός,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0918195,23.7329096,,Point,node/5865133921,place_of_worship,greek_orthodox,Άγιος Νεκτάριος,christian,,,,,,,,,,,,,chapel,,,,,,,,,,,,,,,,,
38.0814941,23.7355737,,Point,node/5959600839,place_of_worship,greek_orthodox,Άγιος Νικόλαος,christian,,,,,,,,,,,,,chapel,,,,,,,,,,,,,,,,,
37.9833542,23.757045,,Point,node/5959687971,place_of_worship,greek_orthodox,Κοίμηση της Θεοτόκου,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9505936,23.6870344,,Point,node/6066791591,place_of_worship,pentecostal,Ελευθέρα Αποστολική Εκκλησία Πεντηκοστής Καλλιθέας,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9544096,23.7046511,,Point,node/6068979685,place_of_worship,greek_orthodox,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0027293,23.6917011,,Point,node/6166161267,place_of_worship,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0774683,23.7325873,,Point,node/6185760054,place_of_worship,christian,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0815962,23.7149822,,Point,node/6271670374,place_of_worship,,,christian,,,,,,,,,,,,,,Ζεφύρι,,,13451,Κορίνθου,,,,,,,,,,,,
37.9896998,23.760776,,Point,node/6337043269,place_of_worship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.1469087,23.6468428,,Point,node/6446030034,place_of_worship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0896848,23.6977237,,Point,node/6446032122,place_of_worship,,Άγιος Γεώργιος,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.1471727,23.5257808,,Point,node/6500997868,place_of_worship,,Ιερός Ναός Ζωοδόχου Πηγής,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0869873,23.7114092,,Point,node/6513207389,place_of_worship,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9113001,23.772448,,Point,node/6576819501,place_of_worship,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0559092,23.7316543,,Point,node/6592697631,place_of_worship,,Οι Άγιοι Απόστολοι,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9582696,23.6468985,,Point,node/6750711809,place_of_worship,greek_orthodox,Άγιος Στυλιανός,christian,,,,,,,,,,,,,,Πειραιάς,,,18543,Τριπόλεως,,,,,,,,,,1962,,
37.8507168,23.8092978,,Point,node/6792591483,place_of_worship,greek_orthodox,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8281236,23.7710516,,Point,node/6813614438,place_of_worship,,Άγιος Ελευθέριος,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.1155585,23.7017318,,Point,node/7205914245,place_of_worship,,Άγιος Αντώνιος,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9338112,23.6265539,,Point,node/7362520823,place_of_worship,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.1145958,23.8799664,,Point,node/7363165226,place_of_worship,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9272132,23.9854386,,Point,node/7487499744,place_of_worship,greek_orthodox,,christian,,,,,,,,ruins,,,,,,,,,,,,,,,,,,,,,,
38.1383858,23.8778913,,Point,node/7532562707,place_of_worship,greek_orthodox,Ιερά Μονή Αγίας Σκέπης,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.1359719,23.8734454,,Point,node/7532670149,place_of_worship,greek_orthodox,Μονή Οσίου Θεοδοσίου του Κοινοβιάρχου,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.1387397,23.8801625,,Point,node/7532675338,place_of_worship,greek_orthodox,Ιερά Μονή Αγίου Γεωργίου,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8377826,24.010584,,Point,node/7533369679,place_of_worship,greek_orthodox,Μονή Μεταμορφώσεως Σωτήρος,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.938533,23.6395844,,Point,node/7627875342,place_of_worship,,Άγιος Νικόλαος,,,,,,,,,,,,,,,,,,,,,,,,,"Ελληνική ορθόδοξη εκκλησία ""Άγιος Νικόλαος""",,,,,,
37.9125849,23.7450583,,Point,node/7686341685,place_of_worship,,,,,UNIVAR SOLUTIONS ΕΠΕ,,,,,,,,,,,,,,,,,,,,,,,,+302109739973,,,Mo-Su 09:00-17:00,
37.8400875,23.7619946,,Point,node/7796142038,place_of_worship,,Ενοριακός Ναός Αγίων Αποστόλων,,,,,,,,,,,,,,,,,1,,Δάφνης,,,,,,,,,,,,
38.1078667,23.725537,,Point,node/7884385004,place_of_worship,orthodox,Ιερός ναός Αγίου Σώζοντα,christian,,,,,,,,,,,,,,Αχαρνές,,,136 74,,,,,,,,,,,,,http://www.imiliou.gr/naos/axarnes/content/agioy-sozontos-kataylismoy-kapota-axarnon
38.1309611,23.6566562,,Point,node/7890134339,place_of_worship,greek_orthodox,ΜΟΝΗ ΚΛΕΙΣΤΩΝ  (Κοιμήσεως της Θεοτόκου),christian,,,,,,,,,,Γυναικεία Μονή.,,,,,,,,,,,,,,,,,,,,
37.8511273,23.8737136,,Point,node/8172092050,place_of_worship,orthodox,Family  Pappas Vasileios,christian,,,,,,,,,,Family Pappas Vasileios,,,,,,366,19400,Κορωπίου - Αγίας Μαρίνας,,,,,,,,,,,,
38.0087892,23.6692568,,Point,node/8196144095,place_of_worship,orthodox,Άγιος Ανδρέας,christian,,,,,,,,,,,,,,Χαϊδάρι,,12,12461,Κόδρου,,,,,,,,,,,,
